"data_id","language","form","age","gender","mom_ed","comprehension","production"
49782,"English","WG",10,"Male","Secondary",36,0
49783,"English","WG",9,"Male","Some College",18,0
49784,"English","WG",9,"Female","College",25,0
49785,"English","WG",9,"Female","Secondary",73,4
49786,"English","WG",9,"Male","Secondary",70,0
49787,"English","WG",9,"Female","College",8,0
49788,"English","WG",8,"Male","Secondary",10,1
49789,"English","WG",8,"Female","Some College",10,2
49790,"English","WG",10,"Female","Some Graduate",84,0
49791,"English","WG",11,"Female","Some College",92,9
49792,"English","WG",8,"Male","College",6,0
49793,"English","WG",11,"Male","Some College",36,2
49794,"English","WG",9,"Male","Graduate",52,1
49795,"English","WG",8,"Female","College",0,0
49796,"English","WG",8,"Female","Some College",27,0
49797,"English","WG",8,"Female","College",8,1
49798,"English","WG",8,"Male","Graduate",15,0
49799,"English","WG",8,"Female","College",24,0
49800,"English","WG",8,"Male","Some Graduate",15,0
49801,"English","WG",8,"Female","Some Secondary",102,0
49802,"English","WG",16,"Female","Some Graduate",295,81
49803,"English","WG",14,"Female","Some College",177,79
49804,"English","WG",11,"Female","Secondary",130,16
49805,"English","WG",10,"Male","Graduate",30,3
49806,"English","WG",10,"Male","Some College",40,2
49807,"English","WG",10,"Female","Some College",170,0
49808,"English","WG",10,"Male","Some College",122,1
49809,"English","WG",10,"Male","College",74,4
49810,"English","WG",10,"Female","Some College",16,1
49811,"English","WG",10,"Female","Some College",105,0
49812,"English","WG",10,"Male","Secondary",96,6
49813,"English","WG",10,"Female","Secondary",75,6
49814,"English","WG",10,"Female","Some Secondary",280,17
49815,"English","WG",10,"Female","Secondary",154,53
49816,"English","WG",14,"Male","Secondary",185,15
49817,"English","WG",11,"Female","Some Graduate",66,0
49818,"English","WG",11,"Female","College",34,1
49819,"English","WG",11,"Male","College",41,0
49820,"English","WG",10,"Male","College",85,13
49821,"English","WG",11,"Female","Some Graduate",57,1
49822,"English","WG",8,"Female","Some College",21,1
49823,"English","WG",8,"Male","Graduate",54,0
49824,"English","WG",8,"Female","Some College",261,3
49825,"English","WG",10,"Male","Graduate",7,0
49826,"English","WG",10,"Female","Graduate",27,0
49827,"English","WG",9,"Male","Some College",99,0
49828,"English","WG",13,"Male","Secondary",161,5
49829,"English","WG",11,"Female","College",49,14
49830,"English","WG",12,"Male","Secondary",82,9
49831,"English","WG",9,"Female","College",57,1
49832,"English","WG",11,"Female","College",135,12
49833,"English","WG",9,"Male","Some College",27,1
49834,"English","WG",11,"Male","Some College",11,2
49835,"English","WG",11,"Male","Secondary",15,0
49836,"English","WG",10,"Male","Some Graduate",65,7
49837,"English","WG",10,"Female","Secondary",147,7
49838,"English","WG",9,"Female","Some College",111,0
49839,"English","WG",9,"Female","College",20,0
49840,"English","WG",9,"Female","College",118,1
49841,"English","WG",11,"Male","Graduate",87,4
49842,"English","WG",12,"Male","College",175,29
49843,"English","WG",12,"Male","College",64,2
